bathrooms	bedrooms	livingArea	homeType	price
1	1	772	CONDO	419000
4	4	3101	MULTI_FAMILY	1295000
5	6	3175	SINGLE_FAMILY	1798000
2	2	1353	SINGLE_FAMILY	899000
2	3	1760	SINGLE_FAMILY	1150000
2	3	2040	SINGLE_FAMILY	1495000
2	4	2053	SINGLE_FAMILY	1295000
2	3	1479	TOWNHOUSE	949000
3	4	2344	SINGLE_FAMILY	1595000
3	3	2169	SINGLE_FAMILY	1195000
2	2	1758	SINGLE_FAMILY	1195000
3	2	1198	SINGLE_FAMILY	895000
2	3	1426	SINGLE_FAMILY	1195000
5	5	3332	TOWNHOUSE	1750000
3	2	1298	CONDO	875990
3	3	1780	SINGLE_FAMILY	1148000
4	2	1448	CONDO	980000
2	4	1800	SINGLE_FAMILY	1198000
4	3	2442	CONDO	1315000
2	1	1000	TOWNHOUSE	785990
2	2	1102	TOWNHOUSE	825990
3	4	2256	SINGLE_FAMILY	1790000
2	2	1553	CONDO	925990
3	2	1551	CONDO	960990
3	2	1714	CONDO	1015990
2	2	1280	TOWNHOUSE	749000
2	3	1506	CONDO	955990
2	2	1305	CONDO	934028
4	4	2377	SINGLE_FAMILY	1365990
4	4	3812	MULTI_FAMILY	1510000
2	2	1066	TOWNHOUSE	800990
1	2	1131	SINGLE_FAMILY	989000
4	4	3739	SINGLE_FAMILY	2500000
2	4	2173	SINGLE_FAMILY	1389000
2	2	1043	CONDO	569000
1	2	802	SINGLE_FAMILY	799000
2	2	1138	TOWNHOUSE	841990
2	3	2146	SINGLE_FAMILY	1395000
2	3	1384	SINGLE_FAMILY	995000
3	3	1767	TOWNHOUSE	1085000
